1e6.xyz
1  SP_EE(Eh)=-3483.15969723, gcorr(Eh)=1.13614343, G(Eh)=-3482.02355380, Rel. G(kcal/mol)=0.00
11 SP_EE(Eh)=-2993.48442595, gcorr(Eh)=1.13106832, G(Eh)=-2992.35335763, Rel. G(kcal/mol)=4.15
12 SP_EE(Eh)=-2993.48179858, gcorr(Eh)=1.12854754, G(Eh)=-2992.35325104, Rel. G(kcal/mol)=4.21
13 SP_EE(Eh)=-2993.48186250, gcorr(Eh)=1.12973546, G(Eh)=-2992.35212704, Rel. G(kcal/mol)=4.92
14 SP_EE(Eh)=-2993.48005147, gcorr(Eh)=1.12810952, G(Eh)=-2992.35194195, Rel. G(kcal/mol)=5.04
15 SP_EE(Eh)=-2993.48023627, gcorr(Eh)=1.12979987, G(Eh)=-2992.35043640, Rel. G(kcal/mol)=5.98
16 SP_EE(Eh)=-2993.47892903, gcorr(Eh)=1.12993881, G(Eh)=-2992.34899022, Rel. G(kcal/mol)=6.89

5e12.xyz
1  SP_EE(Eh)=-2725.49024254, gcorr(Eh)=1.06865108, G(Eh)=-2724.42159146, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2725.49301067, gcorr(Eh)=1.07187709, G(Eh)=-2724.42113358, Rel. G(kcal/mol)=0.29
3  SP_EE(Eh)=-2725.48671178, gcorr(Eh)=1.06822664, G(Eh)=-2724.41848514, Rel. G(kcal/mol)=1.95
4  SP_EE(Eh)=-2725.48589720, gcorr(Eh)=1.07046572, G(Eh)=-2724.41543148, Rel. G(kcal/mol)=3.87
5  SP_EE(Eh)=-2725.48493744, gcorr(Eh)=1.07138737, G(Eh)=-2724.41355007, Rel. G(kcal/mol)=5.05

5r10.xyz
1  SP_EE(Eh)=-2993.49352386, gcorr(Eh)=1.13041411, G(Eh)=-2992.36310975, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2993.48669775, gcorr(Eh)=1.13046115, G(Eh)=-2992.35623660, Rel. G(kcal/mol)=4.31
3  SP_EE(Eh)=-2993.48576752, gcorr(Eh)=1.12963478, G(Eh)=-2992.35613274, Rel. G(kcal/mol)=4.38
4  SP_EE(Eh)=-2993.48477885, gcorr(Eh)=1.12880972, G(Eh)=-2992.35596913, Rel. G(kcal/mol)=4.48
5  SP_EE(Eh)=-2993.48448366, gcorr(Eh)=1.12942963, G(Eh)=-2992.35505403, Rel. G(kcal/mol)=5.06
6  SP_EE(Eh)=-2993.48311899, gcorr(Eh)=1.12817100, G(Eh)=-2992.35494799, Rel. G(kcal/mol)=5.12
7  SP_EE(Eh)=-2993.48350677, gcorr(Eh)=1.12909062, G(Eh)=-2992.35441615, Rel. G(kcal/mol)=5.46
8  SP_EE(Eh)=-2993.48239905, gcorr(Eh)=1.12890843, G(Eh)=-2992.35349062, Rel. G(kcal/mol)=6.04
9  SP_EE(Eh)=-2993.48246404, gcorr(Eh)=1.12926534, G(Eh)=-2992.35319870, Rel. G(kcal/mol)=6.22
10 SP_EE(Eh)=-2993.48124880, gcorr(Eh)=1.12807103, G(Eh)=-2992.35317777, Rel. G(kcal/mol)=6.23
11 SP_EE(Eh)=-2993.48099539, gcorr(Eh)=1.12870915, G(Eh)=-2992.35228624, Rel. G(kcal/mol)=6.79
12 SP_EE(Eh)=-2993.48115321, gcorr(Eh)=1.12911933, G(Eh)=-2992.35203388, Rel. G(kcal/mol)=6.95
13 SP_EE(Eh)=-2993.48110950, gcorr(Eh)=1.12951133, G(Eh)=-2992.35159817, Rel. G(kcal/mol)=7.22
14 SP_EE(Eh)=-2993.48093041, gcorr(Eh)=1.12999907, G(Eh)=-2992.35093134, Rel. G(kcal/mol)=7.64
15 SP_EE(Eh)=-2993.47874113, gcorr(Eh)=1.12835750, G(Eh)=-2992.35038363, Rel. G(kcal/mol)=7.99

5r12.xyz
1  SP_EE(Eh)=-2725.49371121, gcorr(Eh)=1.06917991, G(Eh)=-2724.42453130, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2725.49383831, gcorr(Eh)=1.07198425, G(Eh)=-2724.42185406, Rel. G(kcal/mol)=1.68
3  SP_EE(Eh)=-2725.48848069, gcorr(Eh)=1.07064657, G(Eh)=-2724.41783412, Rel. G(kcal/mol)=4.20
4  SP_EE(Eh)=-2725.48575105, gcorr(Eh)=1.06964071, G(Eh)=-2724.41611034, Rel. G(kcal/mol)=5.28

6e11.xyz
1  SP_EE(Eh)=-2907.81729042, gcorr(Eh)=1.00282464, G(Eh)=-2906.81446578, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2907.81604368, gcorr(Eh)=1.00295740, G(Eh)=-2906.81308628, Rel. G(kcal/mol)=0.87
3  SP_EE(Eh)=-2907.81375964, gcorr(Eh)=1.00164719, G(Eh)=-2906.81211245, Rel. G(kcal/mol)=1.48
4  SP_EE(Eh)=-2907.81350875, gcorr(Eh)=1.00245916, G(Eh)=-2906.81104959, Rel. G(kcal/mol)=2.14
5  SP_EE(Eh)=-2907.81285298, gcorr(Eh)=1.00328543, G(Eh)=-2906.80956755, Rel. G(kcal/mol)=3.07
6  SP_EE(Eh)=-2907.81172551, gcorr(Eh)=1.00253914, G(Eh)=-2906.80918637, Rel. G(kcal/mol)=3.31
7  SP_EE(Eh)=-2907.81239384, gcorr(Eh)=1.00329411, G(Eh)=-2906.80909973, Rel. G(kcal/mol)=3.37
8  SP_EE(Eh)=-2907.81017136, gcorr(Eh)=1.00148582, G(Eh)=-2906.80868554, Rel. G(kcal/mol)=3.63
9  SP_EE(Eh)=-2907.81094046, gcorr(Eh)=1.00340814, G(Eh)=-2906.80753232, Rel. G(kcal/mol)=4.35
10 SP_EE(Eh)=-2907.80952203, gcorr(Eh)=1.00199500, G(Eh)=-2906.80752703, Rel. G(kcal/mol)=4.35
11 SP_EE(Eh)=-2907.81092681, gcorr(Eh)=1.00371307, G(Eh)=-2906.80721374, Rel. G(kcal/mol)=4.55
12 SP_EE(Eh)=-2907.81021372, gcorr(Eh)=1.00313482, G(Eh)=-2906.80707890, Rel. G(kcal/mol)=4.64
13 SP_EE(Eh)=-2907.80987344, gcorr(Eh)=1.00289448, G(Eh)=-2906.80697896, Rel. G(kcal/mol)=4.70
14 SP_EE(Eh)=-2907.80779830, gcorr(Eh)=1.00097604, G(Eh)=-2906.80682226, Rel. G(kcal/mol)=4.80
15 SP_EE(Eh)=-2907.80879375, gcorr(Eh)=1.00201039, G(Eh)=-2906.80678336, Rel. G(kcal/mol)=4.82
16 SP_EE(Eh)=-2907.80867984, gcorr(Eh)=1.00195044, G(Eh)=-2906.80672940, Rel. G(kcal/mol)=4.85
17 SP_EE(Eh)=-2907.80960602, gcorr(Eh)=1.00333917, G(Eh)=-2906.80626685, Rel. G(kcal/mol)=5.14
18 SP_EE(Eh)=-2907.80723776, gcorr(Eh)=1.00208102, G(Eh)=-2906.80515674, Rel. G(kcal/mol)=5.84
19 SP_EE(Eh)=-2907.80612146, gcorr(Eh)=1.00179647, G(Eh)=-2906.80432499, Rel. G(kcal/mol)=6.36
20 SP_EE(Eh)=-2907.80537761, gcorr(Eh)=1.00118767, G(Eh)=-2906.80418994, Rel. G(kcal/mol)=6.45
21 SP_EE(Eh)=-2907.80674701, gcorr(Eh)=1.00273628, G(Eh)=-2906.80401073, Rel. G(kcal/mol)=6.56
22 SP_EE(Eh)=-2907.80634987, gcorr(Eh)=1.00288002, G(Eh)=-2906.80346985, Rel. G(kcal/mol)=6.90
23 SP_EE(Eh)=-2907.80633802, gcorr(Eh)=1.00303050, G(Eh)=-2906.80330752, Rel. G(kcal/mol)=7.00
24 SP_EE(Eh)=-2907.80700898, gcorr(Eh)=1.00389104, G(Eh)=-2906.80311794, Rel. G(kcal/mol)=7.12
25 SP_EE(Eh)=-2907.80493220, gcorr(Eh)=1.00257469, G(Eh)=-2906.80235751, Rel. G(kcal/mol)=7.60
26 SP_EE(Eh)=-2907.80675390, gcorr(Eh)=1.00441509, G(Eh)=-2906.80233881, Rel. G(kcal/mol)=7.61
27 SP_EE(Eh)=-2907.80511679, gcorr(Eh)=1.00371824, G(Eh)=-2906.80139855, Rel. G(kcal/mol)=8.20
28 SP_EE(Eh)=-2907.80565265, gcorr(Eh)=1.00502722, G(Eh)=-2906.80062543, Rel. G(kcal/mol)=8.68

6r11.xyz
1  SP_EE(Eh)=-2907.82325125, gcorr(Eh)=1.00109346, G(Eh)=-2906.82215779, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2907.82063857, gcorr(Eh)=1.00359299, G(Eh)=-2906.81704558, Rel. G(kcal/mol)=3.21
3  SP_EE(Eh)=-2907.81647019, gcorr(Eh)=1.00239038, G(Eh)=-2906.81407981, Rel. G(kcal/mol)=5.07
4  SP_EE(Eh)=-2907.81304387, gcorr(Eh)=1.00284446, G(Eh)=-2906.81019941, Rel. G(kcal/mol)=7.50
5  SP_EE(Eh)=-2907.81183266, gcorr(Eh)=1.00375804, G(Eh)=-2906.80807462, Rel. G(kcal/mol)=8.84

7e12.xyz
1  SP_EE(Eh)=-3531.53506915, gcorr(Eh)=1.16112565, G(Eh)=-3530.37394350, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-3531.53243589, gcorr(Eh)=1.16020146, G(Eh)=-3530.37223443, Rel. G(kcal/mol)=1.07
3  SP_EE(Eh)=-3531.53179491, gcorr(Eh)=1.15992109, G(Eh)=-3530.37187382, Rel. G(kcal/mol)=1.30
4  SP_EE(Eh)=-3531.53223057, gcorr(Eh)=1.16093921, G(Eh)=-3530.37129136, Rel. G(kcal/mol)=1.66
5  SP_EE(Eh)=-3531.53178895, gcorr(Eh)=1.16152351, G(Eh)=-3530.37026544, Rel. G(kcal/mol)=2.31
6  SP_EE(Eh)=-3531.53065453, gcorr(Eh)=1.16042487, G(Eh)=-3530.37022966, Rel. G(kcal/mol)=2.33
7  SP_EE(Eh)=-3531.52898640, gcorr(Eh)=1.15887106, G(Eh)=-3530.37011534, Rel. G(kcal/mol)=2.40
8  SP_EE(Eh)=-3531.53231802, gcorr(Eh)=1.16257807, G(Eh)=-3530.36973995, Rel. G(kcal/mol)=2.64
9  SP_EE(Eh)=-3531.52952642, gcorr(Eh)=1.16035246, G(Eh)=-3530.36917396, Rel. G(kcal/mol)=2.99
10 SP_EE(Eh)=-3531.52941116, gcorr(Eh)=1.16082584, G(Eh)=-3530.36858532, Rel. G(kcal/mol)=3.36
11 SP_EE(Eh)=-3531.53006654, gcorr(Eh)=1.16163726, G(Eh)=-3530.36842928, Rel. G(kcal/mol)=3.46
12 SP_EE(Eh)=-3531.53130742, gcorr(Eh)=1.16305648, G(Eh)=-3530.36825094, Rel. G(kcal/mol)=3.57
13 SP_EE(Eh)=-3531.52608925, gcorr(Eh)=1.15904363, G(Eh)=-3530.36704562, Rel. G(kcal/mol)=4.33
14 SP_EE(Eh)=-3531.52827031, gcorr(Eh)=1.16229108, G(Eh)=-3530.36597923, Rel. G(kcal/mol)=5.00
15 SP_EE(Eh)=-3531.52451517, gcorr(Eh)=1.15906601, G(Eh)=-3530.36544916, Rel. G(kcal/mol)=5.33

7r12.xyz
1  SP_EE(Eh)=-3531.53986883, gcorr(Eh)=1.15990813, G(Eh)=-3530.37996070, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-3531.53844412, gcorr(Eh)=1.16130404, G(Eh)=-3530.37714008, Rel. G(kcal/mol)=1.77
3  SP_EE(Eh)=-3531.53847921, gcorr(Eh)=1.16182623, G(Eh)=-3530.37665298, Rel. G(kcal/mol)=2.08
4  SP_EE(Eh)=-3531.53432147, gcorr(Eh)=1.15986273, G(Eh)=-3530.37445874, Rel. G(kcal/mol)=3.45
5  SP_EE(Eh)=-3531.53314695, gcorr(Eh)=1.16050608, G(Eh)=-3530.37264087, Rel. G(kcal/mol)=4.59
6  SP_EE(Eh)=-3531.53443339, gcorr(Eh)=1.16210833, G(Eh)=-3530.37232506, Rel. G(kcal/mol)=4.79
7  SP_EE(Eh)=-3531.52829127, gcorr(Eh)=1.15918537, G(Eh)=-3530.36910590, Rel. G(kcal/mol)=6.81
8  SP_EE(Eh)=-3531.53158950, gcorr(Eh)=1.16377921, G(Eh)=-3530.36781029, Rel. G(kcal/mol)=7.62
